word,colour,congruent
red,red,1
green,green,1
blue,blue,1
yellow,yellow,1
pink,pink,1
orange,orange,1
blue,blue,1
green,green,1
blue,blue,1
black,black,1
green,green,1
yellow,yellow,1
orange,orange,1
blue,blue,1
black,black,1
brown,brown,1
red,red,1
blue,blue,1
yellow,yellow,1
green,green,1
pink,pink,1
yellow,yellow,1
green,green,1
blue,blue,1
red,red,1

